"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"17.02.2020 11:15 - 17.02.2020 11:30","73324","72223"
"17.02.2020 11:30 - 17.02.2020 11:45","73239","72225"
"17.02.2020 11:45 - 17.02.2020 12:00","73816","72066"
"17.02.2020 12:00 - 17.02.2020 12:15","72449","71444"
"17.02.2020 12:15 - 17.02.2020 12:30","72086","71104"
"17.02.2020 12:30 - 17.02.2020 12:45","72019","71368"
"17.02.2020 12:45 - 17.02.2020 13:00","71793","70918"
"17.02.2020 13:00 - 17.02.2020 13:15","71730","70683"
"17.02.2020 13:15 - 17.02.2020 13:30","71997","70912"
"17.02.2020 13:30 - 17.02.2020 13:45","70248","70816"
"17.02.2020 13:45 - 17.02.2020 14:00","70418","70058"
"17.02.2020 14:00 - 17.02.2020 14:15","70119","69876"
"17.02.2020 14:15 - 17.02.2020 14:30","69756","69535"
"17.02.2020 14:30 - 17.02.2020 14:45","69046","69876"
"17.02.2020 14:45 - 17.02.2020 15:00","69181","69057"
"17.02.2020 15:00 - 17.02.2020 15:15","69354","68947"
"17.02.2020 15:15 - 17.02.2020 15:30","68754","68491"
"17.02.2020 15:30 - 17.02.2020 15:45","68562","67931"
"17.02.2020 15:45 - 17.02.2020 16:00","68394","67421"
"17.02.2020 16:00 - 17.02.2020 16:15","67791","68621"
"17.02.2020 16:15 - 17.02.2020 16:30","67045","68404"
"17.02.2020 16:30 - 17.02.2020 16:45","68849","68026"
"17.02.2020 16:45 - 17.02.2020 17:00","67834","68314"
"17.02.2020 17:00 - 17.02.2020 17:15","68501","68715"
"17.02.2020 17:15 - 17.02.2020 17:30","68596","69439"
"17.02.2020 17:30 - 17.02.2020 17:45","69819","69731"
"17.02.2020 17:45 - 17.02.2020 18:00","70614","70443"
"17.02.2020 18:00 - 17.02.2020 18:15","71478","71283"
"17.02.2020 18:15 - 17.02.2020 18:30","72733","71639"
"17.02.2020 18:30 - 17.02.2020 18:45","72554","71230"
"17.02.2020 18:45 - 17.02.2020 19:00","71766","71593"
"17.02.2020 19:00 - 17.02.2020 19:15","72116","71493"
"17.02.2020 19:15 - 17.02.2020 19:30","70604","70955"
"17.02.2020 19:30 - 17.02.2020 19:45","69901","70237"
"17.02.2020 19:45 - 17.02.2020 20:00","69683","69347"
"17.02.2020 20:00 - 17.02.2020 20:15","68064","68178"
"17.02.2020 20:15 - 17.02.2020 20:30","66454","67184"
"17.02.2020 20:30 - 17.02.2020 20:45","65978","65799"
"17.02.2020 20:45 - 17.02.2020 21:00","64710","64331"
"17.02.2020 21:00 - 17.02.2020 21:15","63883","63683"
"17.02.2020 21:15 - 17.02.2020 21:30","62693","62900"
"17.02.2020 21:30 - 17.02.2020 21:45","61647","62562"
"17.02.2020 21:45 - 17.02.2020 22:00","61148","61653"
"17.02.2020 22:00 - 17.02.2020 22:15","61175","60788"
"17.02.2020 22:15 - 17.02.2020 22:30","60483","59946"
"17.02.2020 22:30 - 17.02.2020 22:45","59927","59247"
"17.02.2020 22:45 - 17.02.2020 23:00","58542","58373"
"17.02.2020 23:00 - 17.02.2020 23:15","57089","56818"
"17.02.2020 23:15 - 17.02.2020 23:30","56375","55696"
"17.02.2020 23:30 - 17.02.2020 23:45","55691","55269"
"17.02.2020 23:45 - 18.02.2020 00:00","55021","54848"
"18.02.2020 00:00 - 18.02.2020 00:15","53595","53705"
"18.02.2020 00:15 - 18.02.2020 00:30","52266","52853"
"18.02.2020 00:30 - 18.02.2020 00:45","51939","52738"
"18.02.2020 00:45 - 18.02.2020 01:00","51494","52130"
"18.02.2020 01:00 - 18.02.2020 01:15","50295","51596"
"18.02.2020 01:15 - 18.02.2020 01:30","49928","51666"
"18.02.2020 01:30 - 18.02.2020 01:45","49681","51555"
"18.02.2020 01:45 - 18.02.2020 02:00","49656","51470"
"18.02.2020 02:00 - 18.02.2020 02:15","49229","51121"
"18.02.2020 02:15 - 18.02.2020 02:30","48995","51291"
"18.02.2020 02:30 - 18.02.2020 02:45","48825","51598"
"18.02.2020 02:45 - 18.02.2020 03:00","48963","51409"
"18.02.2020 03:00 - 18.02.2020 03:15","49105","51230"
"18.02.2020 03:15 - 18.02.2020 03:30","49487","51486"
"18.02.2020 03:30 - 18.02.2020 03:45","49202","51486"
"18.02.2020 03:45 - 18.02.2020 04:00","49333","51330"
"18.02.2020 04:00 - 18.02.2020 04:15","50111","52009"
"18.02.2020 04:15 - 18.02.2020 04:30","50527","52480"
"18.02.2020 04:30 - 18.02.2020 04:45","50781","53042"
"18.02.2020 04:45 - 18.02.2020 05:00","51460","53593"
"18.02.2020 05:00 - 18.02.2020 05:15","52237","54876"
"18.02.2020 05:15 - 18.02.2020 05:30","53055","55285"
"18.02.2020 05:30 - 18.02.2020 05:45","54348","56360"
"18.02.2020 05:45 - 18.02.2020 06:00","56310","58218"
"18.02.2020 06:00 - 18.02.2020 06:15","59582","60719"
"18.02.2020 06:15 - 18.02.2020 06:30","61648","62508"
"18.02.2020 06:30 - 18.02.2020 06:45","63588","63871"
"18.02.2020 06:45 - 18.02.2020 07:00","64474","65720"
"18.02.2020 07:00 - 18.02.2020 07:15","66989","67571"
"18.02.2020 07:15 - 18.02.2020 07:30","67757","68494"
"18.02.2020 07:30 - 18.02.2020 07:45","68850","69348"
"18.02.2020 07:45 - 18.02.2020 08:00","70183","69890"
"18.02.2020 08:00 - 18.02.2020 08:15","70120","70734"
"18.02.2020 08:15 - 18.02.2020 08:30","70424","71722"
"18.02.2020 08:30 - 18.02.2020 08:45","70978","71732"
"18.02.2020 08:45 - 18.02.2020 09:00","71217","70971"
"18.02.2020 09:00 - 18.02.2020 09:15","70818","70334"
"18.02.2020 09:15 - 18.02.2020 09:30","71692","70773"
"18.02.2020 09:30 - 18.02.2020 09:45","71937","71403"
"18.02.2020 09:45 - 18.02.2020 10:00","72192","72215"
"18.02.2020 10:00 - 18.02.2020 10:15","72138","71775"
"18.02.2020 10:15 - 18.02.2020 10:30","72738","72106"
"18.02.2020 10:30 - 18.02.2020 10:45","73254","72681"
"18.02.2020 10:45 - 18.02.2020 11:00","73070","74006"
"18.02.2020 11:00 - 18.02.2020 11:15","73519","73722"
"18.02.2020 11:15 - 18.02.2020 11:30","74307","73797"
"18.02.2020 11:30 - 18.02.2020 11:45","74093","74113"
"18.02.2020 11:45 - 18.02.2020 12:00","74457","73777"
"18.02.2020 12:00 - 18.02.2020 12:15","73335","73485"
"18.02.2020 12:15 - 18.02.2020 12:30","73145","73194"
"18.02.2020 12:30 - 18.02.2020 12:45","72969","72955"
"18.02.2020 12:45 - 18.02.2020 13:00","72861","72938"
"18.02.2020 13:00 - 18.02.2020 13:15","72708","73058"
"18.02.2020 13:15 - 18.02.2020 13:30","72998","72383"
"18.02.2020 13:30 - 18.02.2020 13:45","71418","72669"
"18.02.2020 13:45 - 18.02.2020 14:00","71338","71903"
"18.02.2020 14:00 - 18.02.2020 14:15","71125","71264"
"18.02.2020 14:15 - 18.02.2020 14:30","70814","71453"
"18.02.2020 14:30 - 18.02.2020 14:45","70279","71428"
"18.02.2020 14:45 - 18.02.2020 15:00","70364","71095"
"18.02.2020 15:00 - 18.02.2020 15:15","70328","70810"
"18.02.2020 15:15 - 18.02.2020 15:30","69664","70235"
"18.02.2020 15:30 - 18.02.2020 15:45","69486","69436"
"18.02.2020 15:45 - 18.02.2020 16:00","69326","69190"
"18.02.2020 16:00 - 18.02.2020 16:15","68692","68684"
"18.02.2020 16:15 - 18.02.2020 16:30","67928","68035"
"18.02.2020 16:30 - 18.02.2020 16:45","69575","68238"
"18.02.2020 16:45 - 18.02.2020 17:00","68485","68105"
"18.02.2020 17:00 - 18.02.2020 17:15","69148","68539"
"18.02.2020 17:15 - 18.02.2020 17:30","69310","68727"
"18.02.2020 17:30 - 18.02.2020 17:45","70300","69776"
"18.02.2020 17:45 - 18.02.2020 18:00","71117","70727"
"18.02.2020 18:00 - 18.02.2020 18:15","72258","71633"
"18.02.2020 18:15 - 18.02.2020 18:30","73307","72185"
"18.02.2020 18:30 - 18.02.2020 18:45","73151","72446"
"18.02.2020 18:45 - 18.02.2020 19:00","72228","71907"
"18.02.2020 19:00 - 18.02.2020 19:15","72630","71591"
"18.02.2020 19:15 - 18.02.2020 19:30","71164","71136"
"18.02.2020 19:30 - 18.02.2020 19:45","70469","70724"
"18.02.2020 19:45 - 18.02.2020 20:00","70103","70020"
"18.02.2020 20:00 - 18.02.2020 20:15","68610","68849"
"18.02.2020 20:15 - 18.02.2020 20:30","67108","67580"
"18.02.2020 20:30 - 18.02.2020 20:45","66723","66738"
"18.02.2020 20:45 - 18.02.2020 21:00","65464","65510"
"18.02.2020 21:00 - 18.02.2020 21:15","64561","64809"
"18.02.2020 21:15 - 18.02.2020 21:30","63500","64356"
"18.02.2020 21:30 - 18.02.2020 21:45","62170","63064"
"18.02.2020 21:45 - 18.02.2020 22:00","61877","61996"
"18.02.2020 22:00 - 18.02.2020 22:15","61757","61957"
"18.02.2020 22:15 - 18.02.2020 22:30","61072","61153"
"18.02.2020 22:30 - 18.02.2020 22:45","60534","59817"
"18.02.2020 22:45 - 18.02.2020 23:00","59191","58529"
"18.02.2020 23:00 - 18.02.2020 23:15","57777","57723"
"18.02.2020 23:15 - 18.02.2020 23:30","57053","57053"
"18.02.2020 23:30 - 18.02.2020 23:45","56408","56068"
"18.02.2020 23:45 - 19.02.2020 00:00","55816","55406"
"19.02.2020 00:00 - 19.02.2020 00:15","54267","53807"
"19.02.2020 00:15 - 19.02.2020 00:30","52778","52955"
"19.02.2020 00:30 - 19.02.2020 00:45","52289","52318"
"19.02.2020 00:45 - 19.02.2020 01:00","51993","51752"
"19.02.2020 01:00 - 19.02.2020 01:15","50610","51613"
"19.02.2020 01:15 - 19.02.2020 01:30","50179","51623"
"19.02.2020 01:30 - 19.02.2020 01:45","50168","51197"
"19.02.2020 01:45 - 19.02.2020 02:00","49859","50864"
"19.02.2020 02:00 - 19.02.2020 02:15","49627","50716"
"19.02.2020 02:15 - 19.02.2020 02:30","49533","50343"
"19.02.2020 02:30 - 19.02.2020 02:45","49306","50641"
"19.02.2020 02:45 - 19.02.2020 03:00","49376","50705"
"19.02.2020 03:00 - 19.02.2020 03:15","49699","51079"
"19.02.2020 03:15 - 19.02.2020 03:30","49946","51128"
"19.02.2020 03:30 - 19.02.2020 03:45","49550","51110"
"19.02.2020 03:45 - 19.02.2020 04:00","49851","51445"
"19.02.2020 04:00 - 19.02.2020 04:15","50535","51705"
"19.02.2020 04:15 - 19.02.2020 04:30","51067","52019"
"19.02.2020 04:30 - 19.02.2020 04:45","51106","52735"
"19.02.2020 04:45 - 19.02.2020 05:00","51728","53464"
"19.02.2020 05:00 - 19.02.2020 05:15","52672","54092"
"19.02.2020 05:15 - 19.02.2020 05:30","53100","54829"
"19.02.2020 05:30 - 19.02.2020 05:45","54294","55596"
"19.02.2020 05:45 - 19.02.2020 06:00","55981","57475"
"19.02.2020 06:00 - 19.02.2020 06:15","59324","60044"
"19.02.2020 06:15 - 19.02.2020 06:30","61500","61974"
"19.02.2020 06:30 - 19.02.2020 06:45","63741","64450"
"19.02.2020 06:45 - 19.02.2020 07:00","64716","65921"
"19.02.2020 07:00 - 19.02.2020 07:15","66903","67230"
"19.02.2020 07:15 - 19.02.2020 07:30","67944","68092"
"19.02.2020 07:30 - 19.02.2020 07:45","68965","68567"
"19.02.2020 07:45 - 19.02.2020 08:00","70138","69030"
"19.02.2020 08:00 - 19.02.2020 08:15","69801","70130"
"19.02.2020 08:15 - 19.02.2020 08:30","70090","70566"
"19.02.2020 08:30 - 19.02.2020 08:45","70517","70419"
"19.02.2020 08:45 - 19.02.2020 09:00","70495","70267"
"19.02.2020 09:00 - 19.02.2020 09:15","70540","69627"
"19.02.2020 09:15 - 19.02.2020 09:30","71283","69812"
"19.02.2020 09:30 - 19.02.2020 09:45","71390","70015"
"19.02.2020 09:45 - 19.02.2020 10:00","71633","70263"
"19.02.2020 10:00 - 19.02.2020 10:15","71511","71168"
"19.02.2020 10:15 - 19.02.2020 10:30","72150","71714"
"19.02.2020 10:30 - 19.02.2020 10:45","72688","72313"
"19.02.2020 10:45 - 19.02.2020 11:00","72387","72654"
"19.02.2020 11:00 - 19.02.2020 11:15","73122","73472"
"19.02.2020 11:15 - 19.02.2020 11:30","73811","74074"
"19.02.2020 11:30 - 19.02.2020 11:45","73500","73976"
"19.02.2020 11:45 - 19.02.2020 12:00","73919","73856"
"19.02.2020 12:00 - 19.02.2020 12:15","72693","72857"
"19.02.2020 12:15 - 19.02.2020 12:30","72286","72461"
"19.02.2020 12:30 - 19.02.2020 12:45","72060","72782"
"19.02.2020 12:45 - 19.02.2020 13:00","72078","72981"
"19.02.2020 13:00 - 19.02.2020 13:15","72071","73599"
"19.02.2020 13:15 - 19.02.2020 13:30","72358","73004"
"19.02.2020 13:30 - 19.02.2020 13:45","70860","72039"
"19.02.2020 13:45 - 19.02.2020 14:00","71135","71432"
"19.02.2020 14:00 - 19.02.2020 14:15","70789","70563"
"19.02.2020 14:15 - 19.02.2020 14:30","70492","69843"
"19.02.2020 14:30 - 19.02.2020 14:45","70018","69596"
"19.02.2020 14:45 - 19.02.2020 15:00","69966","69734"
"19.02.2020 15:00 - 19.02.2020 15:15","70202","70585"
"19.02.2020 15:15 - 19.02.2020 15:30","69537","70061"
"19.02.2020 15:30 - 19.02.2020 15:45","69467","69208"
"19.02.2020 15:45 - 19.02.2020 16:00","69014","68926"
"19.02.2020 16:00 - 19.02.2020 16:15","68473","67610"
"19.02.2020 16:15 - 19.02.2020 16:30","67720","67646"
"19.02.2020 16:30 - 19.02.2020 16:45","69071","67482"
"19.02.2020 16:45 - 19.02.2020 17:00","68452","66747"
"19.02.2020 17:00 - 19.02.2020 17:15","68749","66889"
"19.02.2020 17:15 - 19.02.2020 17:30","68827","67711"
"19.02.2020 17:30 - 19.02.2020 17:45","69778","68632"
"19.02.2020 17:45 - 19.02.2020 18:00","70740","69981"
"19.02.2020 18:00 - 19.02.2020 18:15","71836","70673"
"19.02.2020 18:15 - 19.02.2020 18:30","72870","70891"
"19.02.2020 18:30 - 19.02.2020 18:45","72629","70683"
"19.02.2020 18:45 - 19.02.2020 19:00","71950","70638"
"19.02.2020 19:00 - 19.02.2020 19:15","72207","70340"
"19.02.2020 19:15 - 19.02.2020 19:30","70856","69492"
"19.02.2020 19:30 - 19.02.2020 19:45","70252","68577"
"19.02.2020 19:45 - 19.02.2020 20:00","69993","68070"
"19.02.2020 20:00 - 19.02.2020 20:15","68628","67050"
"19.02.2020 20:15 - 19.02.2020 20:30","67066","65957"
"19.02.2020 20:30 - 19.02.2020 20:45","66736","65248"
"19.02.2020 20:45 - 19.02.2020 21:00","65310","64449"
"19.02.2020 21:00 - 19.02.2020 21:15","64337","63665"
"19.02.2020 21:15 - 19.02.2020 21:30","63195","62757"
"19.02.2020 21:30 - 19.02.2020 21:45","62109","61641"
"19.02.2020 21:45 - 19.02.2020 22:00","61916","60665"
"19.02.2020 22:00 - 19.02.2020 22:15","61599","60895"
"19.02.2020 22:15 - 19.02.2020 22:30","61005","60025"
"19.02.2020 22:30 - 19.02.2020 22:45","60506","59338"
"19.02.2020 22:45 - 19.02.2020 23:00","59187","58214"
"19.02.2020 23:00 - 19.02.2020 23:15","57891","56891"
"19.02.2020 23:15 - 19.02.2020 23:30","56934","55705"
"19.02.2020 23:30 - 19.02.2020 23:45","56368","54921"
"19.02.2020 23:45 - 20.02.2020 00:00","55656","54200"
"20.02.2020 00:00 - 20.02.2020 00:15","56076","53346"
"20.02.2020 00:15 - 20.02.2020 00:30","54291","52334"
"20.02.2020 00:30 - 20.02.2020 00:45","54254","51806"
"20.02.2020 00:45 - 20.02.2020 01:00","53855","51380"
"20.02.2020 01:00 - 20.02.2020 01:15","52334","50815"
"20.02.2020 01:15 - 20.02.2020 01:30","51468","50504"
"20.02.2020 01:30 - 20.02.2020 01:45","51719","50465"
"20.02.2020 01:45 - 20.02.2020 02:00","51734","50326"
"20.02.2020 02:00 - 20.02.2020 02:15","51388","50490"
"20.02.2020 02:15 - 20.02.2020 02:30","51044","50226"
"20.02.2020 02:30 - 20.02.2020 02:45","50614","50297"
"20.02.2020 02:45 - 20.02.2020 03:00","51083","50303"
"20.02.2020 03:00 - 20.02.2020 03:15","51348","50252"
"20.02.2020 03:15 - 20.02.2020 03:30","51828","50057"
"20.02.2020 03:30 - 20.02.2020 03:45","50746","50133"
"20.02.2020 03:45 - 20.02.2020 04:00","51299","50419"
"20.02.2020 04:00 - 20.02.2020 04:15","51976","50698"
"20.02.2020 04:15 - 20.02.2020 04:30","52434","50906"
"20.02.2020 04:30 - 20.02.2020 04:45","52444","51004"
"20.02.2020 04:45 - 20.02.2020 05:00","52945","51565"
"20.02.2020 05:00 - 20.02.2020 05:15","53793","53074"
"20.02.2020 05:15 - 20.02.2020 05:30","54395","53899"
"20.02.2020 05:30 - 20.02.2020 05:45","55109","54950"
"20.02.2020 05:45 - 20.02.2020 06:00","56901","56606"
"20.02.2020 06:00 - 20.02.2020 06:15","60248","59345"
"20.02.2020 06:15 - 20.02.2020 06:30","62392","61191"
"20.02.2020 06:30 - 20.02.2020 06:45","64329","63150"
"20.02.2020 06:45 - 20.02.2020 07:00","64462","64651"
"20.02.2020 07:00 - 20.02.2020 07:15","67791","65634"
"20.02.2020 07:15 - 20.02.2020 07:30","67856","66724"
"20.02.2020 07:30 - 20.02.2020 07:45","69020","67496"
"20.02.2020 07:45 - 20.02.2020 08:00","70267","67902"
"20.02.2020 08:00 - 20.02.2020 08:15","70190","68345"
"20.02.2020 08:15 - 20.02.2020 08:30","70445","68642"
"20.02.2020 08:30 - 20.02.2020 08:45","70981","68873"
"20.02.2020 08:45 - 20.02.2020 09:00","71197","69117"
"20.02.2020 09:00 - 20.02.2020 09:15","71089","69285"
"20.02.2020 09:15 - 20.02.2020 09:30","71736","69454"
"20.02.2020 09:30 - 20.02.2020 09:45","71624","70025"
"20.02.2020 09:45 - 20.02.2020 10:00","72047","70090"
"20.02.2020 10:00 - 20.02.2020 10:15","72042","70268"
"20.02.2020 10:15 - 20.02.2020 10:30","72307","70503"
"20.02.2020 10:30 - 20.02.2020 10:45","72888","70805"
"20.02.2020 10:45 - 20.02.2020 11:00","72361","70690"
"20.02.2020 11:00 - 20.02.2020 11:15","72988","71050"
"20.02.2020 11:15 - 20.02.2020 11:30","73439","71502"
"20.02.2020 11:30 - 20.02.2020 11:45","73937","71666"
"20.02.2020 11:45 - 20.02.2020 12:00","74635","71490"
"20.02.2020 12:00 - 20.02.2020 12:15","72646","70401"
"20.02.2020 12:15 - 20.02.2020 12:30","72563","69865"
"20.02.2020 12:30 - 20.02.2020 12:45","72205","69920"
"20.02.2020 12:45 - 20.02.2020 13:00","72651","70250"
"20.02.2020 13:00 - 20.02.2020 13:15","72375","71092"
"20.02.2020 13:15 - 20.02.2020 13:30","73108","70731"
"20.02.2020 13:30 - 20.02.2020 13:45","70895","70153"
"20.02.2020 13:45 - 20.02.2020 14:00","71567","69485"
"20.02.2020 14:00 - 20.02.2020 14:15","71455","68812"
"20.02.2020 14:15 - 20.02.2020 14:30","71081","68810"
"20.02.2020 14:30 - 20.02.2020 14:45","69817","68953"
"20.02.2020 14:45 - 20.02.2020 15:00","70127","68736"
"20.02.2020 15:00 - 20.02.2020 15:15","70297","69025"
"20.02.2020 15:15 - 20.02.2020 15:30","70119","68940"
"20.02.2020 15:30 - 20.02.2020 15:45","69422","68278"
"20.02.2020 15:45 - 20.02.2020 16:00","69375","67431"
"20.02.2020 16:00 - 20.02.2020 16:15","68555","67353"
"20.02.2020 16:15 - 20.02.2020 16:30","67904","67536"
"20.02.2020 16:30 - 20.02.2020 16:45","69612","67621"
"20.02.2020 16:45 - 20.02.2020 17:00","68631","67652"
"20.02.2020 17:00 - 20.02.2020 17:15","69259","68191"
"20.02.2020 17:15 - 20.02.2020 17:30","69502","68765"
"20.02.2020 17:30 - 20.02.2020 17:45","70327","69572"
"20.02.2020 17:45 - 20.02.2020 18:00","70485","70579"
"20.02.2020 18:00 - 20.02.2020 18:15","71407","71635"
"20.02.2020 18:15 - 20.02.2020 18:30","72493","71898"
"20.02.2020 18:30 - 20.02.2020 18:45","72549","72033"
"20.02.2020 18:45 - 20.02.2020 19:00","70990","72067"
"20.02.2020 19:00 - 20.02.2020 19:15","72439","71771"
"20.02.2020 19:15 - 20.02.2020 19:30","70659","71080"
"20.02.2020 19:30 - 20.02.2020 19:45","69958","70431"
"20.02.2020 19:45 - 20.02.2020 20:00","69690","69678"
"20.02.2020 20:00 - 20.02.2020 20:15","68330","68765"
"20.02.2020 20:15 - 20.02.2020 20:30","66756","67765"
"20.02.2020 20:30 - 20.02.2020 20:45","67123","66950"
"20.02.2020 20:45 - 20.02.2020 21:00","65729","65728"
"20.02.2020 21:00 - 20.02.2020 21:15","64178","65077"
"20.02.2020 21:15 - 20.02.2020 21:30","62710","64320"
"20.02.2020 21:30 - 20.02.2020 21:45","60969","63450"
"20.02.2020 21:45 - 20.02.2020 22:00","61153","62232"
"20.02.2020 22:00 - 20.02.2020 22:15","60800","62541"
"20.02.2020 22:15 - 20.02.2020 22:30","60106","61879"
"20.02.2020 22:30 - 20.02.2020 22:45","60504","60930"
"20.02.2020 22:45 - 20.02.2020 23:00","58453","59674"
"20.02.2020 23:00 - 20.02.2020 23:15","57173","58486"
"20.02.2020 23:15 - 20.02.2020 23:30","56321","57316"
"20.02.2020 23:30 - 20.02.2020 23:45","55994","56318"
"20.02.2020 23:45 - 21.02.2020 00:00","55561","55404"
"21.02.2020 00:00 - 21.02.2020 00:15","53239","54176"
"21.02.2020 00:15 - 21.02.2020 00:30","52198","53809"
"21.02.2020 00:30 - 21.02.2020 00:45","51407","53229"
"21.02.2020 00:45 - 21.02.2020 01:00","51071","52546"
"21.02.2020 01:00 - 21.02.2020 01:15","49778","52334"
"21.02.2020 01:15 - 21.02.2020 01:30","49757","52051"
"21.02.2020 01:30 - 21.02.2020 01:45","49539","52289"
"21.02.2020 01:45 - 21.02.2020 02:00","49385","51786"
"21.02.2020 02:00 - 21.02.2020 02:15","49241","50854"
"21.02.2020 02:15 - 21.02.2020 02:30","49321","50463"
"21.02.2020 02:30 - 21.02.2020 02:45","49225","50966"
"21.02.2020 02:45 - 21.02.2020 03:00","49506","51390"
"21.02.2020 03:00 - 21.02.2020 03:15","50031","51582"
"21.02.2020 03:15 - 21.02.2020 03:30","50354","51652"
"21.02.2020 03:30 - 21.02.2020 03:45","50212","52071"
"21.02.2020 03:45 - 21.02.2020 04:00","50439","51933"
"21.02.2020 04:00 - 21.02.2020 04:15","51192","52882"
"21.02.2020 04:15 - 21.02.2020 04:30","51436","53249"
"21.02.2020 04:30 - 21.02.2020 04:45","51720","53797"
"21.02.2020 04:45 - 21.02.2020 05:00","52228","54036"
"21.02.2020 05:00 - 21.02.2020 05:15","53000","55020"
"21.02.2020 05:15 - 21.02.2020 05:30","53637","55814"
"21.02.2020 05:30 - 21.02.2020 05:45","54766","56548"
"21.02.2020 05:45 - 21.02.2020 06:00","56377","58239"
"21.02.2020 06:00 - 21.02.2020 06:15","59380","60680"
"21.02.2020 06:15 - 21.02.2020 06:30","61266","62003"
"21.02.2020 06:30 - 21.02.2020 06:45","63228","63976"
"21.02.2020 06:45 - 21.02.2020 07:00","64514","65288"
"21.02.2020 07:00 - 21.02.2020 07:15","66373","66563"
"21.02.2020 07:15 - 21.02.2020 07:30","67147","67342"
"21.02.2020 07:30 - 21.02.2020 07:45","68951","67525"
"21.02.2020 07:45 - 21.02.2020 08:00","70102","68401"
"21.02.2020 08:00 - 21.02.2020 08:15","70102","69199"
"21.02.2020 08:15 - 21.02.2020 08:30","70595","69578"
"21.02.2020 08:30 - 21.02.2020 08:45","70881","70370"
"21.02.2020 08:45 - 21.02.2020 09:00","71049","70439"
"21.02.2020 09:00 - 21.02.2020 09:15","70468","70261"
"21.02.2020 09:15 - 21.02.2020 09:30","71204","70298"
"21.02.2020 09:30 - 21.02.2020 09:45","71263","70185"
"21.02.2020 09:45 - 21.02.2020 10:00","71673","70585"
"21.02.2020 10:00 - 21.02.2020 10:15","71615","70421"
"21.02.2020 10:15 - 21.02.2020 10:30","72256","71056"
"21.02.2020 10:30 - 21.02.2020 10:45","72584","71307"
"21.02.2020 10:45 - 21.02.2020 11:00","72347","71737"
"21.02.2020 11:00 - 21.02.2020 11:15","72718","71449"
"21.02.2020 11:15 - 21.02.2020 11:30","73576","72396"
"21.02.2020 11:30 - 21.02.2020 11:45","73332","72472"
"21.02.2020 11:45 - 21.02.2020 12:00","73749","72024"
"21.02.2020 12:00 - 21.02.2020 12:15","72504","71916"
"21.02.2020 12:15 - 21.02.2020 12:30","72297","71444"
"21.02.2020 12:30 - 21.02.2020 12:45","72033","70561"
"21.02.2020 12:45 - 21.02.2020 13:00","71243","70064"
"21.02.2020 13:00 - 21.02.2020 13:15","71257","69509"
"21.02.2020 13:15 - 21.02.2020 13:30","70954","69661"
"21.02.2020 13:30 - 21.02.2020 13:45","69635","68925"
"21.02.2020 13:45 - 21.02.2020 14:00","69522","68175"
"21.02.2020 14:00 - 21.02.2020 14:15","69153","67753"
"21.02.2020 14:15 - 21.02.2020 14:30","68840","67199"
"21.02.2020 14:30 - 21.02.2020 14:45","68321","67275"
"21.02.2020 14:45 - 21.02.2020 15:00","68226","66953"
"21.02.2020 15:00 - 21.02.2020 15:15","68223","66892"
"21.02.2020 15:15 - 21.02.2020 15:30","67345","66160"
"21.02.2020 15:30 - 21.02.2020 15:45","67394","65754"
"21.02.2020 15:45 - 21.02.2020 16:00","66896","65636"
"21.02.2020 16:00 - 21.02.2020 16:15","66269","65637"
"21.02.2020 16:15 - 21.02.2020 16:30","65772","65442"
"21.02.2020 16:30 - 21.02.2020 16:45","66940","65134"
"21.02.2020 16:45 - 21.02.2020 17:00","66477","65267"
"21.02.2020 17:00 - 21.02.2020 17:15","66879","65676"
"21.02.2020 17:15 - 21.02.2020 17:30","66834","66254"
"21.02.2020 17:30 - 21.02.2020 17:45","67566","66579"
"21.02.2020 17:45 - 21.02.2020 18:00","68432","67205"
"21.02.2020 18:00 - 21.02.2020 18:15","69023","67980"
"21.02.2020 18:15 - 21.02.2020 18:30","69999","68439"
"21.02.2020 18:30 - 21.02.2020 18:45","69585","68580"
"21.02.2020 18:45 - 21.02.2020 19:00","69216","68713"
"21.02.2020 19:00 - 21.02.2020 19:15","69014","68484"
"21.02.2020 19:15 - 21.02.2020 19:30","67944","67736"
"21.02.2020 19:30 - 21.02.2020 19:45","67273","67099"
"21.02.2020 19:45 - 21.02.2020 20:00","66979","66315"
"21.02.2020 20:00 - 21.02.2020 20:15","65376","65340"
"21.02.2020 20:15 - 21.02.2020 20:30","64136","64303"
"21.02.2020 20:30 - 21.02.2020 20:45","63219","63486"
"21.02.2020 20:45 - 21.02.2020 21:00","62098","62480"
"21.02.2020 21:00 - 21.02.2020 21:15","61151","61494"
"21.02.2020 21:15 - 21.02.2020 21:30","60393","60344"
"21.02.2020 21:30 - 21.02.2020 21:45","59662","59738"
"21.02.2020 21:45 - 21.02.2020 22:00","59179","58970"
"21.02.2020 22:00 - 21.02.2020 22:15","59303","58755"
"21.02.2020 22:15 - 21.02.2020 22:30","58744","58262"
"21.02.2020 22:30 - 21.02.2020 22:45","57980","57142"
"21.02.2020 22:45 - 21.02.2020 23:00","57094","56493"
"21.02.2020 23:00 - 21.02.2020 23:15","55663","56100"
"21.02.2020 23:15 - 21.02.2020 23:30","54874","55528"
"21.02.2020 23:30 - 21.02.2020 23:45","54312","54636"
"21.02.2020 23:45 - 22.02.2020 00:00","53490","53333"
